id,bw,duration,packets,data_pkts,data_bytes,rexmit_pkts,rexmit_bytes,rtt_avg,rtt_min,rtt_max,stdev_rtt,rtt_count,reordering,ttl_min,ttl_max,max_seg_size,min_seg_size,win_max,win_min,rtx_RTO,rtx_FR,net_dup,flow_control,unnece_rtx_RTO,stallCount,qualityChanges,skippedFrames,fpsChanges,twitch_backend
1,0.75,60,15,4,2408,0,0,13.495913,13.24,13.912,0.292083,4,0,64,1448,80,64256,63872,0,0,0,0,0,0,0,5,0,4,1.7.0-twitch.1-rc.1
2,1.25,60,201,43,2030.21428571429,0,0,24.9901186428571,23.7097857142857,28.4621428571429,2.11340521428571,60,0,64,1286.5,77,64256,63533.7142857143,0,0,0,0,0,0,0,3,2,6,1.7.0-twitch.1-rc.1
3,2,60,18,4,2312,0,0,13.741725,13.062,15.727,1.123099,5,0,64,1448,80,64256,63872,0,0,0,0,0,0,0,4,57,7,1.7.0-twitch.1-rc.1
4,3,60,25,8,2085.5,0,0,34.1167565,28.587,53.248,10.9920535,9,0,64,1288,55.5,64256,63616,0,0,0,0,0,0,0,3,53,4,1.7.0-twitch.1-rc.1
5,5,60,15,4,2409,0,0,13.340916,13.108,13.713,0.259623,4,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,1,7,1,1.7.0-twitch.1-rc.1
6,0.75,60,19,5,2609,1,282,13.782324,13.219,15.729,1.090207,5,0,64,1448,80,64256,62720,0,0,0,0,0,0,1,7,1,6,1.7.0-twitch.1-rc.1
7,1.25,60,16,5,2678,1,273,13.386665,13.13,13.844,0.323376,4,0,64,1448,80,64256,63872,0,0,0,0,0,0,0,2,0,5,1.7.0-twitch.1-rc.1
8,2,60,16,4,2411,0,0,13.529412,13.317,13.871,0.26713,4,0,64,1448,80,64256,64128,0,0,0,0,0,0,0,2,1,2,1.7.0-twitch.1-rc.1
9,3,60,18,4,2320,0,0,13.871523,13.134,16.003,1.197777,5,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,5,45,9,1.7.0-twitch.1-rc.1
10,5,60,15,4,2399,0,0,13.389165,13.016,13.823,0.333259,4,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,1,6,4,1.7.0-twitch.1-rc.1
11,0.75,60,16,4,2403,0,0,13.365166,13.076,13.753,0.302148,4,0,64,1448,80,64256,64128,0,0,0,0,0,0,0,3,0,2,1.7.0-twitch.1-rc.1
12,1.25,60,20,4,2329,0,0,13.883922,13.171,15.601,0.977705,5,0,64,1448,80,64256,63872,0,0,0,0,0,0,0,2,0,2,1.7.0-twitch.1-rc.1
13,2,60,15,4,2409,0,0,13.482663,13.239,13.738,0.20407,4,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,2,1,4,1.7.0-twitch.1-rc.1
14,3,60,15,4,2403,0,0,13.326667,13.041,13.753,0.304451,4,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,2,5,7,1.7.0-twitch.1-rc.1
15,5,60,20,4,2310,0,0,13.844523,13.229,15.624,1.028633,5,0,64,1448,80,64256,63360,0,0,0,0,0,0,0,1,5,1,1.7.0-twitch.1-rc.1
16,0.75,60,24,8,2086,0,0,30.4765825,28.42,36.778,3.5930095,9,0,64,1290,55.5,64256,63168,0,0,0,0,0,0,0,5,6,5,1.7.0-twitch.1-rc.1
17,1.25,60,21,5,1245,0,0,72.0811945,71.878,72.402,0.2471075,7,0,64,767.5,83.5,64256,63808,0,0,0,0,0,0,0,3,46,6,1.7.0-twitch.1-rc.1
18,2,60,18,4,2316,0,0,13.836323,13.143,15.837,1.127036,5,0,64,1448,80,64256,62720,0,0,0,0,0,0,0,3,31,4,1.7.0-twitch.1-rc.1
19,3,60,14,4,2403,0,0,13.466163,13.192,13.975,0.347055,4,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,3,43,4,1.7.0-twitch.1-rc.1
20,5,60,15,4,2401,0,0,13.449914,13.07,13.807,0.385654,4,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,1,1,2,1.7.0-twitch.1-rc.1
21,0.75,60,160,23,7699.66666666667,2,351,53.8188223333333,52.011,58.6743333333333,1.71748166666667,24,0,64,979,82.3333333333333,64256,63360,0,0,0,0,1,0,1,7,3,6,1.7.0-twitch.1-rc.1
22,1.25,60,16,4,2406,0,0,13.759156,13.034,15.523,1.18152,4,0,64,1448,80,64256,64128,0,0,0,0,0,0,0,3,3,3,1.7.0-twitch.1-rc.1
23,2,60,15,4,2437,0,0,13.409665,13.196,13.844,0.304605,4,0,64,1448,80,64256,63872,0,0,0,0,0,0,0,2,1,3,1.7.0-twitch.1-rc.1
24,3,60,19,4,2320,0,0,14.078518,13.011,17.254,1.784186,5,0,64,1448,80,64256,62848,0,0,0,0,0,0,0,2,0,7,1.7.0-twitch.1-rc.1
25,5,60,21,5,1251,0,0,72.8057955,72.6235,73.149,0.2582955,7,0,64,767.5,83.5,64256,64000,0,0,0,0,0,0,0,1,356,6,1.7.0-twitch.1-rc.1
26,0.75,60,16,4,2403,0,0,13.19417,12.851,13.511,0.294067,4,0,64,1448,80,64256,63488,0,0,0,0,0,0,1,7,2,7,1.7.0-twitch.1-rc.1
27,1.25,60,19,4,2318,0,0,13.866323,13.218,15.784,1.08635,5,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,2,2,4,1.7.0-twitch.1-rc.1
28,2,60,15,4,2403,0,0,13.399915,13.085,13.653,0.239326,4,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,2,8,2,1.7.0-twitch.1-rc.1
29,3,60,17,6,1379.5,1,270,71.79708,71.479,72.0855,0.285089,7,0,64,767.5,83.5,64256,64000,0,0,0,0,0,0,0,1,0,1,1.7.0-twitch.1-rc.1
30,5,60,19,4,2312,0,0,13.703326,13.048,15.688,1.113471,5,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,2,8,2,1.7.0-twitch.1-rc.1
31,0.75,60,40,12,1594.66666666667,0,0,36.91282,36.639,37.2996666666667,0.252251,16,0,64,828,47.3333333333333,64256,63445.3333333333,0,0,0,0,0,0,0,4,6,4,1.7.0-twitch.1-rc.1
32,1.25,60,13,4,2403,0,0,13.357916,12.967,13.676,0.304846,4,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,3,28,8,1.7.0-twitch.1-rc.1
33,2,60,19,4,2322,0,0,13.702926,13.104,15.682,1.109217,5,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,3,53,6,1.7.0-twitch.1-rc.1
34,3,60,15,4,2405,0,0,13.309667,12.997,13.843,0.368356,4,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,1,4,7,1.7.0-twitch.1-rc.1
35,5,60,16,4,2401,0,0,13.355916,13.176,13.87,0.342614,4,0,64,1448,80,64256,63360,0,0,0,0,0,0,0,2,2,2,1.7.0-twitch.1-rc.1
36,0.75,60,26,7,1382,2,356,73.446182,72.6705,74.1705,0.7021945,8,0,64,767.5,83.5,64256,63424,0,0,0,0,1,0,0,2,0,1,1.7.0-twitch.1-rc.1
37,1.25,60,14,4,2403,0,0,13.547161,13.307,13.888,0.261996,4,0,64,1448,80,64256,62592,0,0,0,0,0,0,0,3,26,7,1.7.0-twitch.1-rc.1
38,2,60,15,4,2408,0,0,13.343416,13.18,13.794,0.300445,4,0,64,1448,80,64256,63488,0,0,0,0,0,0,0,1,0,4,1.7.0-twitch.1-rc.1
39,3,60,31,9,2171.5,1,270,34.6410075,28.315,56.2735,12.3165875,10,0,64,1282.5,55.5,64256,63360,0,0,0,0,0,0,0,1,2,5,1.7.0-twitch.1-rc.1
