id,bw,duration,packets,data_pkts,data_bytes,rexmit_pkts,rexmit_bytes,rtt_avg,rtt_min,rtt_max,stdev_rtt,rtt_count,reordering,ttl_min,ttl_max,max_seg_size,min_seg_size,win_max,win_min,rtx_RTO,rtx_FR,net_dup,flow_control,unnece_rtx_RTO,stallCount,qualityChanges,skippedFrames,fpsChanges,twitch_backend
3577,5.0,60.0,10.0,4.0,2421.0,0.0,0.0,15.536362,14.849,16.015,0.494797,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,47,6,1.7.0-twitch.1-rc.1
3422,5.0,60.0,12.0,4.0,2322.0,0.0,0.0,16.080478,14.766,18.314,1.322781,5.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1.7.0-twitch.1-rc.1
3427,5.0,60.0,10.0,4.0,2411.0,0.0,0.0,15.403615,15.084,15.881,0.338309,4.0,0.0,64.0,1448.0,80.0,64256.0,58368.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,6,1.7.0-twitch.1-rc.1
3418,1.0,60.0,2612.0,69.0,12533.333333333334,1.0,1411.0,37.8968375,30.72366666666667,77.964,14.536611,72.0,0.0,64.0,1189.6666666666667,72.16666666666667,216445.33333333334,59450.666666666664,0.0,0.0,0.0,0.0,1.0,0.0,1,4,1,5,1.7.0-twitch.1-rc.1
3421,4.0,60.0,59.0,11.0,2904.6666666666665,0.0,0.0,58.047438666666665,54.201666666666675,69.85166666666667,6.926492,15.0,0.0,64.0,980.3333333333334,82.33333333333333,64256.0,61824.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,4,1.7.0-twitch.1-rc.1
3432,5.0,60.0,26.0,8.0,1808.5,0.0,0.0,43.1723365,33.3255,81.442,21.4233635,10.0,0.0,64.0,983.0,55.5,64256.0,62400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,4,1.7.0-twitch.1-rc.1
3419,2.0,60.0,12.0,4.0,2334.0,0.0,0.0,15.952351,14.81,18.311,1.605402,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,12,3,1.7.0-twitch.1-rc.1
3437,5.0,60.0,13.0,4.0,2311.0,0.0,0.0,16.592868,15.19,18.61,1.357947,5.0,0.0,64.0,1448.0,80.0,64256.0,60672.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,3,1.7.0-twitch.1-rc.1
3442,5.0,60.0,16.0,4.0,2408.0,0.0,0.0,16.458339,14.888,18.958,1.761508,4.0,0.0,64.0,1448.0,80.0,64256.0,64128.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1.7.0-twitch.1-rc.1
3420,3.0,60.0,16.0,4.0,2406.0,0.0,0.0,15.569111,14.583,15.979,0.664582,4.0,0.0,64.0,1448.0,80.0,64256.0,64128.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,5,1.7.0-twitch.1-rc.1
